term	saliency	frequency	distinctiveness	rank	visibility
cow	2.70171730001	2.2	1.22805331819	0	default
big	2.25230647638	1.2	1.87692206365	1	default
farm	2.25230647638	1.2	1.87692206365	2	default
1115	2.25230647638	1.2	1.87692206365	3	default
bessy	2.25230647638	1.2	1.87692206365	4	default
franklin	2.25230647638	1.2	1.87692206365	5	default
jumped	2.25230647638	1.2	1.87692206365	6	default
look,	2.25230647638	1.2	1.87692206365	7	default
moon	2.25230647638	1.2	1.87692206365	8	default
next?	2.25230647638	1.2	1.87692206365	9	default
text	2.25230647638	1.2	1.87692206365	10	default
i'm	1.22780215986	1.2	1.02316846655	11	default
